不	[[驾驶员不应转化为交强险中的“第三者”,0.11552453009332421],[盘点美国宇航局发布的浩瀚宇宙星空精彩图片,0.04077336356234972],[官员赌博称陪女同事度更年期　看尽中国为官不仁,0.016906028794145007],[·搜狐社区用户请确认您发表的言论符合,0.015403270679109895],[日本森永召回约３２万盒奶制品　包括立顿奶茶等,0.014440566261665526],[剩余可输入字符数：４０００,0.014002973344645361],[工业盐造酱油事件追踪：海天起诉威极商标侵权,0.01184866975316146],[加拿大西部发生石油管道泄漏　距市区月１００公里,0.009973340727481227],[新疆地震局：乌恰近期发生更大地震可能性不大,0.009060747458299939],[江苏丰县回应３００多亩大棚变身荒草地,0.008610523982111122],[联合国发布报告称预测２０１２年中国经济增长８．３％,0.00805985093674355],[新娘打麻将不入洞房　新郎赌气防晒霜里灌冰淇淋,0.007744661235306652],[黎巴嫩北部发生教派冲突　已致１２人死４９人受伤,0.007037027213806551],[干爹干女儿偷情十年　私奔不成相约服药割腕,0.006664876736153321],[传汤灿被判１５年　经纪人回应称“在北京好好的”,0.006601401719618527],[美国大肠杆菌６州扩散　１名儿童死亡,0.00644788074939484],[男子嫖娼起纠纷挨打　老乡帮寻仇认错门被捅死,0.006330111237990367],[房贷利率走低经济回暖　纽约华人再掀购房热,0.006161308271643958],[张绍刚发道歉信网友不认可：他的问题是俯视他人（图）,0.0061340458456632324],[烟台食品安全新规：种植环节出问题农业部门负责,0.006080238425964432],[苏贞昌：若执政者一意孤行　民进党将强烈反应,0.006053687166462404],[Ａ股市场遭遇黑色星期一　基金表态不必过度悲观,0.005899124940935705],[多地楼市密集微调　民众担忧市场反弹,0.0056353429313816695],[学者争论降息对楼市影响　马光远称楼市将反弹,0.005612527777813322],[四大银行股价节节溃退　工行建行跌破汇金成本线,0.005523085104063309],[北京８家银行房贷利率最低８．５折　业内称已是底线,0.00500467278382632],[许小年：民营企业家与制度的摩擦将长期存在,0.004847183080838778],[中石油创历史新低　大盘或开启短线下跌空间,0.004830293941184288],[欧洲杯大战在即　荷兰葡萄牙面临淘汰将背水一战,0.004715286942584661],[证券业协会六招遏制ＩＰＯ人情报价,0.004387007471898388],[５月数据或令调控再出手　非对称降息预期升温,0.004318674022180344],[第四期国债２０分钟卖光　发售前晚市民已排队等候,0.004213660672096932],[武汉一环卫工人因“占道”遭围殴　被泼滚烫米粉,0.004163046129489161],[银行开打存款争夺战　三年定存利率竟相差３．５％,0.004041674522215424],[信贷资产证券化重启　众银行抢５００亿额度,0.003938336253181508],[约定收益不断攀升　分级债基趁势吸金,0.0037980667427942208],[国内油价两连跌　下游行业跟涨容易跟跌难,0.003677173371670797],[乌鲁木齐一患者家属医院电梯内挥拳打伤女医生,0.0035821559718860222],[蒲长城：去年重新审核并淘汰４０％乳制品企业,0.0032618690849879777],[发改委连发两文赞阶梯电价：实现富人补贴穷人,0.0032465910096484557],[１０万七天理财收益仅百元　银行产品实际收益低,0.0031364125817192096],[重庆上邦高球场非法占地７６４亩被罚１２７３万,0.0031152682272357094],[叶檀：央行降息是倒逼的结果,0.003040119212982216],[煤企纷纷降价促销　煤炭“黄金十年”或已终结,0.0030136833937388927],[东方基金庞飒：习惯逆向投资,0.003007146119565923],[王耀辉涉农行副行长案　曾借道信托违规圈钱,0.0029495624704678524],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.0026405606878474107],[李旭利：常理上不太可能选择工行建行做老鼠仓,0.0025205352020361647]]
人民	[[官员赌博称陪女同事度更年期　看尽中国为官不仁,0.025610497913202093],[·搜狐社区用户请确认您发表的言论符合,0.023334009209806352],[剩余可输入字符数：４０００,0.0212127356452785],[妇女色诱八旬老头　３名壮汉扮警察抓嫖敲诈钱财,0.014094367979077661],[新疆地震局：乌恰近期发生更大地震可能性不大,0.013725887770474324],[扎克伯格携妻罗马当街吃３０元麦当劳午餐（组图）,0.011413374070013976],[黎巴嫩北部发生教派冲突　已致１２人死４９人受伤,0.010660207253211021],[烟台食品安全新规：种植环节出问题农业部门负责,0.009210793109134086],[苏贞昌：若执政者一意孤行　民进党将强烈反应,0.009170571305164067],[财政部：政府性资金要对民间投资主体同等对待,0.009170571305164067],[江西遂川系列“捡钱分钱”诈骗案被警方破获,0.009091172419405071],[中国经济走过黄金十年　转型将造福世界经济,0.008536832637734032],[学者争论降息对楼市影响　马光远称楼市将反弹,0.008502270562277618],[我国拟修改安全生产法　企业存隐患可被断水断电,0.00789496552211493],[各国央行推量化动力足　中国或面临两难格局,0.007216703879321552],[武汉一环卫工人因“占道”遭围殴　被泼滚烫米粉,0.006306488975623338],[乌鲁木齐一患者家属医院电梯内挥拳打伤女医生,0.005426513769722407],[蒲长城：去年重新审核并淘汰４０％乳制品企业,0.004941319597370756],[“十分钟”传导“三公里”,0.004708656567001281],[煤企纷纷降价促销　煤炭“黄金十年”或已终结,0.00456534962800559],[王耀辉涉农行副行长案　曾借道信托违规圈钱,0.004468214529537386],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.004000115864538231],[李旭利：常理上不太可能选择工行建行做老鼠仓,0.00381829241615013]]
他	[[英国摄影师记录胖人生活,0.06052127574194312],[俄总统竞选“梅普”或许换位,0.03940920280870715],[谁能帮帮他！请关注逃命到张家界的手脚链锁青年,0.033891914415488146],[广西南宁整治６家涉黄场所　嫖客自抽耳光,0.022007736633433864],[那些匪夷所思的意外,0.022007736633433864],[·搜狐社区用户请确认您发表的言论符合,0.01882884134193786],[剩余可输入字符数：４０００,0.01711712849267078],[“在野党”联手　台湾行政负责人施政报告受阻,0.011606820005304158],[日本首相野田组建新一届内阁　更换５名内阁大臣,0.011606820005304158],[香港女收银员被拍胸及被称“大波莲”获赔８万,0.011297304805162717],[考古学家挖到莎士比亚剧院遗址　建造于红灯区,0.010208407956472335],[父亲和三岁女儿翻唱《因为爱情》走红网络,0.009795350987135302],[新娘打麻将不入洞房　新郎赌气防晒霜里灌冰淇淋,0.009467015199857024],[扎克伯格携妻罗马当街吃３０元麦当劳午餐（组图）,0.009209759352034823],[山西省委书记：煤老板将淡出历史舞台,0.00822619281929324],[干爹干女儿偷情十年　私奔不成相约服药割腕,0.00814709481141542],[拆迁款瘦身记：拨款１７１万支付１４０万到手３１万,0.007773374865937648],[男子嫖娼起纠纷挨打　老乡帮寻仇认错门被捅死,0.007737880003536106],[房贷利率走低经济回暖　纽约华人再掀购房热,0.0075315365367751436],[张绍刚发道歉信网友不认可：他的问题是俯视他人（图）,0.007498211153869059],[苏贞昌：若执政者一意孤行　民进党将强烈反应,0.007399981313425359],[学者争论降息对楼市影响　马光远称楼市将反弹,0.006860711420139301],[“走婚族”悄然兴起　六成网友称能接受,0.005966886340754956],[许小年：民营企业家与制度的摩擦将长期存在,0.005925159862847578],[欧洲杯大战在即　荷兰葡萄牙面临淘汰将背水一战,0.005763931023042202],[可乐瓶里有根管　身价能翻千倍,0.005667544216636814],[武汉一环卫工人因“占道”遭围殴　被泼滚烫米粉,0.005088876038361584],[泉州１０米高架桥机倒塌　１名工人坠落受重伤（图）,0.004897675493567651],[公安机关销毁１０余万非法枪支　跨国武器走私渐起,0.004483057462366157],[乌鲁木齐一患者家属医院电梯内挥拳打伤女医生,0.004378800312078572],[大连有望设立第五个国家级新区　带动东北振兴,0.003886687432968824],[第五个国家级新区有望落户大连　１０股最大赢家,0.003877793411383083],[酒泉基地安装红外防侵入装置　装甲车巡逻,0.003868940001768053],[东方基金庞飒：习惯逆向投资,0.0036759126264086926],[李旭利：常理上不太可能选择工行建行做老鼠仓,0.0030810831286807406]]
任何	[[·搜狐社区用户请确认您发表的言论符合,0.037024494557502265],[剩余可输入字符数：４０００,0.033658631415911154],[监管部门开绿灯小产权房疯长　涉及群众一万余人,0.01801191627121732],[美国再次坚称俄罗斯向叙利亚供应战斗直升机,0.017537918474606336],[黎巴嫩北部发生教派冲突　已致１２人死４９人受伤,0.016914743706473116],[传汤灿被判１５年　经纪人回应称“在北京好好的”,0.01586764052464383]]
全国	[[全国掀起扫黄风暴　涉黄场所天上落人间,0.05306095336298562],[全国１４１万考生参加“国考”,0.05306095336298562],[李大霄：政策利好不断累积　股市将向好无须悲观,0.02984678626667941],[福建选举产生４１名出席十八大代表　贺国强当选,0.026828571925105085],[·搜狐社区用户请确认您发表的言论符合,0.02653047668149281],[剩余可输入字符数：４０００,0.024118615164993463],[北新建材及其控股子公司拟逾４亿投资三项目,0.01850963489406475],[药监局：６月底前完成城区餐饮单位量化分级管理,0.010902935622531291],[第四期国债２０分钟卖光　发售前晚市民已排队等候,0.0072575772077031996],[银行开打存款争夺战　三年定存利率竟相差３．５％,0.006961349566572457],[国内油价两连跌　下游行业跟涨容易跟跌难,0.006333535547305975],[公安机关销毁１０余万非法枪支　跨国武器走私渐起,0.006316780162260192],[蒲长城：去年重新审核并淘汰４０％乳制品企业,0.005618218591374947],[发改委连发两文赞阶梯电价：实现富人补贴穷人,0.005591903750197548],[大连有望设立第五个国家级新区　带动东北振兴,0.005476474544344846],[第五个国家级新区有望落户大连　１０股最大赢家,0.005463942565982501],[重庆上邦高球场非法占地７６４亩被罚１２７３万,0.005365714385021018]]
全国人大常委会	[[·搜狐社区用户请确认您发表的言论符合,0.0464389152284712],[剩余可输入字符数：４０００,0.04221719566224655]]
公司	[[·搜狐社区用户请确认您发表的言论符合,0.0194639348290484],[剩余可输入字符数：４０００,0.017694486208225817],[证监会：重组中股票异常交易监管将加强,0.015925037587403233],[全球最具争议道德底线,0.015640661916199606],[工业盐造酱油事件追踪：海天起诉威极商标侵权,0.014972257560806463],[北新建材及其控股子公司拟逾４亿投资三项目,0.013579489415615162],[中国三菱劳工索赔团在日本国会前游行示威,0.012786526530031794],[加拿大西部发生石油管道泄漏　距市区月１００公里,0.012602547731038532],[新股申报脚步放缓　上周新增３家拟上市公司,0.011916694793294937],[考古学家挖到莎士比亚剧院遗址　建造于红灯区,0.010552735750688892],[陈文辉：偿付能力监管体系需与时俱进,0.010552735750688892],[农行２万存款变保单　退回须赔违约金逾６千元,0.00880278459605204],[山东曲阜孔林附近女子被斩首续：系凶手女友,0.00875877067307178],[干爹干女儿偷情十年　私奔不成相约服药割腕,0.008421894877953634],[重大资产收购方案获通过　三公司今起复牌,0.007716978566583066],[Ａ股市场遭遇黑色星期一　基金表态不必过度悲观,0.007454272913252578],[学者争论降息对楼市影响　马光远称楼市将反弹,0.007092122002487271],[四大银行股价节节溃退　工行建行跌破汇金成本线,0.006979100137905801],[我国拟修改安全生产法　企业存隐患可被断水断电,0.006585541859452465],[三部委决定在上海试行启运港退税政策,0.006211894094377148],[可乐瓶里有根管　身价能翻千倍,0.005858709480315571],[中美联手破获跨国走私武器案　主犯系美国士兵,0.005632649950528475],[证券业协会六招遏制ＩＰＯ人情报价,0.005543525742450493],[５月数据或令调控再出手　非对称降息预期升温,0.005457177989452822],[信贷资产证券化重启　众银行抢５００亿额度,0.004976574246063512],[约定收益不断攀升　分级债基趁势吸金,0.004799326396203715],[国内油价两连跌　下游行业跟涨容易跟跌难,0.004646562691284764],[公安机关销毁１０余万非法枪支　跨国武器走私渐起,0.004634270197392476],[重庆上邦高球场非法占地７６４亩被罚１２７３万,0.0039365261452008],[东方基金庞飒：习惯逆向投资,0.0037999005089248503],[王耀辉涉农行副行长案　曾借道信托违规圈钱,0.003727136456626289],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.003336674542122583],[李旭利：常理上不太可能选择工行建行做老鼠仓,0.003185007517480647]]
公告	[[·搜狐社区用户请确认您发表的言论符合,0.03200243762702385],[剩余可输入字符数：４０００,0.02909312511547623],[北新建材及其控股子公司拟逾４亿投资三项目,0.022327282065365477],[国资委回应央企审计报告　称９７％问题完成修改,0.013396369239219287],[重大资产收购方案获通过　三公司今起复牌,0.012688191129657035],[多地楼市密集微调　民众担忧市场反弹,0.011708208887935556],[四大银行股价节节溃退　工行建行跌破汇金成本线,0.011474977635187835],[证券业协会六招遏制ＩＰＯ人情报价,0.009114618311494134],[叙粮价大涨百万人需援助　海外人士资助反对派,0.008944780703205424],[第四期国债２０分钟卖光　发售前晚市民已排队等候,0.0087544662201585]]
共和	[[·搜狐社区用户请确认您发表的言论符合,0.037024494557502265],[剩余可输入字符数：４０００,0.033658631415911154],[财政部：政府性资金要对民间投资主体同等对待,0.014551111398144995],[我国拟修改安全生产法　企业存隐患可被断水断电,0.01252708462471881],[武汉一环卫工人因“占道”遭围殴　被泼滚烫米粉,0.010006620150676288],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.006347056209857531]]
共和国	[[·搜狐社区用户请确认您发表的言论符合,0.037024494557502265],[剩余可输入字符数：４０００,0.033658631415911154],[财政部：政府性资金要对民间投资主体同等对待,0.014551111398144995],[我国拟修改安全生产法　企业存隐患可被断水断电,0.01252708462471881],[武汉一环卫工人因“占道”遭围殴　被泼滚烫米粉,0.010006620150676288],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.006347056209857531]]
关于	[[福建选举产生４１名出席十八大代表　贺国强当选,0.026828571925105085],[·搜狐社区用户请确认您发表的言论符合,0.02653047668149281],[剩余可输入字符数：４０００,0.024118615164993463],[证监会：重组中股票异常交易监管将加强,0.021706753648494115],[北新建材及其控股子公司拟逾４亿投资三项目,0.01850963489406475],[山西省委书记：煤老板将淡出历史舞台,0.01159098495793375],[药监局：６月底前完成城区餐饮单位量化分级管理,0.010902935622531291],[烟台食品安全新规：种植环节出问题农业部门负责,0.010472556584799793],[财政部：政府性资金要对民间投资主体同等对待,0.010426824896656561],[北京８家银行房贷利率最低８．５折　业内称已是底线,0.008620010474131237],[三部委决定在上海试行启运港退税政策,0.008467173408987066],[信贷资产证券化重启　众银行抢５００亿额度,0.006783360515154412],[乌鲁木齐一患者家属医院电梯内挥拳打伤女医生,0.006169878298021583],[发改委连发两文赞阶梯电价：实现富人补贴穷人,0.005591903750197548],[大连有望设立第五个国家级新区　带动东北振兴,0.005476474544344846],[第五个国家级新区有望落户大连　１０股最大赢家,0.005463942565982501],[重庆上邦高球场非法占地７６４亩被罚１２７３万,0.005365714385021018]]
包含	[[·搜狐社区用户请确认您发表的言论符合,0.04324244775678474],[剩余可输入字符数：４０００,0.03931131614253158],[王耀辉涉农行副行长案　曾借道信托违规圈钱,0.008280468719384312]]
华人	[[·搜狐社区用户请确认您发表的言论符合,0.0355408124172298],[剩余可输入字符数：４０００,0.032309829470208905],[房贷利率走低经济回暖　纽约华人再掀购房热,0.014216324966891918],[财政部：政府性资金要对民间投资主体同等对待,0.01396800488013398],[我国拟修改安全生产法　企业存隐患可被断水断电,0.012025086908085268],[武汉一环卫工人因“占道”遭围殴　被泼滚烫米粉,0.009605624977629674],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.006092710700096537]]
及其	[[·搜狐社区用户请确认您发表的言论符合,0.03306143962484969],[剩余可输入字符数：４０００,0.03005585420440881],[证监会：重组中股票异常交易监管将加强,0.027050268783967924],[中国第２６次南极考察队乘雪龙号出征,0.024191297286475382],[北新建材及其控股子公司拟逾４亿投资三项目,0.023066120668499782],[妇女色诱八旬老头　３名壮汉扮警察抓嫖敲诈钱财,0.01996999708883538],[扎克伯格携妻罗马当街吃３０元麦当劳午餐（组图）,0.016171356338241693],[中美联手破获跨国走私武器案　主犯系美国士兵,0.009567619184040102],[公安机关销毁１０余万非法枪支　跨国武器走私渐起,0.007871771339249925]]
发表	[[·搜狐社区用户请确认您发表的言论符合,0.04324244775678474],[剩余可输入字符数：４０００,0.03931131614253158],[多伦多枪击案似为寻仇　目击者回忆＂恐怖＂现场,0.01569282378270414]]
号	[[·搜狐社区用户请确认您发表的言论符合,0.0355408124172298],[剩余可输入字符数：４０００,0.032309829470208905],[财政部：政府性资金要对民间投资主体同等对待,0.01396800488013398],[中国经济走过黄金十年　转型将造福世界经济,0.013002736250206023],[第四期国债２０分钟卖光　发售前晚市民已排队等候,0.009722410691643408],[王耀辉涉农行副行长案　曾借道信托违规圈钱,0.006805687484150386],[河南漯河省级文保旁建高楼　百年老房随时会坍塌,0.006092710700096537]]
